category,function,function_label,function_description,contract,input_name,input_label,input_type,convert_convention,read_only,default_value,input_description,priviledge,action,disable,condition
Seller Management,createSeller,Create Seller,,SellerManagement,_name,Name,bytes32,,,,,onlyManagerMultiSig,CreateSeller,,
Seller Management,createSeller,Create Seller,,SellerManagement,_commissionRate,Commission Rate,uint,PERCENT_RATE,,,,onlyManagerMultiSig,CreateSeller,,
Seller Management,createSeller,Create Seller,,SellerManagement,_withdrawalAddr,Withdrawal Address,address,,,,,onlyManagerMultiSig,CreateSeller,,
Seller Management,removeSeller,Remove Seller,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyManagerMultiSig,RemoveSeller,,
Seller Management,freezeSeller,Freeze Seller,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyOperatorOrEscrowGroup,FreezeSeller,,
Seller Management,unfreezeSeller,Unfreeze Seller,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyOperatorOrEscrowGroup,UnfreezeSeller,,
Seller Configuration,changeSellerCommissionRate,Change Seller Commission Rate,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyManagerMultiSig,ChangeSellerCommissionRate,,DRAW_END
Seller Configuration,changeSellerCommissionRate,Change Seller Commission Rate,,SellerManagement,_commissionRates,Commission Rates,uint128[],PERCENT_RATE,,,,onlyManagerMultiSig,ChangeSellerCommissionRate,,DRAW_END
Seller Configuration,changeSellerWithdrawalAddr,Change Seller Withdrawal Address,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyManagerMultiSig,ChangeSellerWithdrawalAddr,,
Seller Configuration,changeSellerWithdrawalAddr,Change Seller Withdrawal Address,,SellerManagement,_withdrawalAddrs,Withdrawal Address,address[],,,,,onlyManagerMultiSig,ChangeSellerWithdrawalAddr,,
Seller Configuration,changeSellerName,Change Seller Name,,SellerManagement,_sellers,Sellers Address,address[],,,,,onlyOperatorGroup,ChangeSellerName,,
Seller Configuration,changeSellerName,Change Seller Name,,SellerManagement,_names,Name,bytes32[],,,,,onlyOperatorGroup,ChangeSellerName,,
